Article title,Article subtitle,Article URL,Article body,Category,Keywords
What role does human input play in the execution of tasks within a CrewAI crew?,It allows agents to request additional information or clarification when necessary.,https://help.crewai.com/what-role-does-human-input-play-in-the-execution-of-tasks-within-a-crewai-crew,"<p>This feature is crucial in complex decision-making processes or when agents require more details to complete a task effectively.</p>
<p>To integrate human input into agent execution, set the <strong>human_input </strong>flag in the task definition. When enabled, the agent prompts the user for input before delivering its final answer. This input can provide extra context, clarify ambiguities, or validate the agent's output.</p>
<p>Click <a href=""https://docs.crewai.com/how-to/Human-Input-on-Execution/"" target=""_blank"" rel=""noopener"">here</a> for more details</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",FAQs,
What advanced customization options are available for tailoring and enhancing agent behavior and capabilities in CrewAI?,CrewAI provides a range of advanced customization options to tailor and enhance agent behavior and capabilities:,https://help.crewai.com/what-advanced-customization-options-are-available-for-tailoring-and-enhancing-agent-behavior-and-capabilities-in-crewai,"<ul>
<li>
<p><strong>Language Model Customization:</strong>&nbsp;Agents can be customized with specific language models (llm) and function-calling language models (function_calling_llm), offering advanced control over their processing and decision-making abilities.</p>
</li>
<li>
<p><strong>Performance and Debugging Settings:</strong>&nbsp;Adjust an agent's performance and monitor its operations for efficient task execution.</p>
</li>
</ul>
<ul>
<li><strong>Verbose Mode:</strong> Enables detailed logging of an agent's actions, useful for debugging and optimization.</li>
<li><strong>RPM Limit</strong>: Sets the maximum number of requests per minute (max_rpm).</li>
</ul>
<ul>
<li>
<p><strong>Maximum Iterations for Task Execution:</strong>&nbsp;The max_iter attribute allows users to define the maximum number of iterations an agent can perform for a single task, preventing infinite loops or excessively long executions.</p>
</li>
<li>
<p><strong>Delegation and Autonomy:</strong>&nbsp;Control an agent's ability to delegate or ask questions, tailoring its autonomy and collaborative dynamics within the CrewAI framework. By default, the allow_delegation attribute is set to True, enabling agents to seek assistance or delegate tasks as needed. This default behavior promotes collaborative problem-solving and efficiency within the CrewAI ecosystem. If needed, delegation can be disabled to suit specific operational requirements.</p>
</li>
<li>
<p><strong>Human Input in Agent Execution:</strong>&nbsp;Human input is critical in several agent execution scenarios, allowing agents to request additional information or clarification when necessary. This feature is especially useful in complex decision-making processes or when agents require more details to complete a task effectively.</p>
</li>
</ul>",FAQs,
In what scenarios is human input particularly useful in agent execution?,,https://help.crewai.com/in-what-scenarios-is-human-input-particularly-useful-in-agent-execution,"<p><strong>Human input is particularly useful in agent execution when:</strong></p>
<ul>
<li><strong>Agents require additional information or clarification:</strong>&nbsp;When agents encounter ambiguity or incomplete data, human input can provide the necessary context to complete the task effectively.</li>
<li><strong>Agents need to make complex or sensitive decisions:</strong>&nbsp;Human input can assist agents in ethical or nuanced decision-making, ensuring responsible and informed outcomes.</li>
<li><strong>Oversight and validation of agent output:</strong>&nbsp;Human input can help validate the results generated by agents, ensuring accuracy and preventing any misinterpretation or errors.</li>
<li><strong>Customizing agent behavior:</strong>&nbsp;Human input can provide feedback on agent responses, allowing users to refine the agent's behavior and responses over time.</li>
<li><strong>Identifying and resolving errors or limitations:</strong>&nbsp;Human input can help identify and address any errors or limitations in the agent's capabilities, enabling continuous improvement and optimization.</li>
</ul>",FAQs,
 What are the different types of memory that are available in crewAI?,,https://help.crewai.com/-what-are-the-different-types-of-memory-that-are-available-in-crewai,"<p>The different types of memory available in crewAI are short-term memory, long-term memory, entity memory, and contextual memory.</p>
<p>Click <a href=""https://docs.crewai.com/core-concepts/Memory/"" target=""_blank"" rel=""noopener"">here</a> for more details.</p>
<p>&nbsp;</p>",FAQs,
How to use Output Pydantic in a Task?,,https://help.crewai.com/how-to-use-output-pydantic-in-a-task,"<p>To use Output Pydantic in a task, you need to define the expected output of the task as a Pydantic model. Here's an example:</p>
<p>1. First, you need to define a Pydantic model. For instance, let's create a simple model for a user:</p>
<p>&nbsp;</p>
<p><code><em>from pydantic import BaseModel</em></code><br><br><code><em>class User(BaseModel):</em></code><br><code><em>&nbsp; &nbsp; name: str</em></code><br><code><em>&nbsp; &nbsp; age: int</em></code></p>
<p>2. Then, when creating a task, specify the expected output as this Pydantic model:</p>
<p><code>from crewai import Task, Crew, Agent</code><br><br><code><em># Import the User model</em></code><br><code><em>from my_models import User</em></code><br><br><code><em># Create a task with Output Pydantic</em></code><br><code><em>task = Task(</em></code><br><code><em>&nbsp; &nbsp; description=""Create a user with the provided name and age"",</em></code><br><code><em>&nbsp; &nbsp; expected_output=User, &nbsp;# This is the Pydantic model</em></code><br><code><em>&nbsp; &nbsp; agent=agent,</em></code><br><code><em>&nbsp; &nbsp; tools=[tool1, tool2]</em></code><br><code><em>)</em></code></p>
<p>3. I<span style=""background-color: transparent; color: var(--primary-body-font-color); font-family: var(--primary-body-font-family); font-size: var(--primary-body-font-size); font-style: var(--primary-body-font-style); font-weight: var(--primary-body-font-weight);"">n your agent, make sure to set the output_pydantic attribute to the Pydantic model you're using:</span></p>
<p><code><em><span style=""background-color: transparent; color: var(--primary-body-font-color); font-family: var(--primary-body-font-family); font-size: var(--primary-body-font-size); font-weight: var(--primary-body-font-weight);"">from crewai import Agent<br><br># Import the User model<br>from my_models import User<br><br># Create an agent with Output Pydantic<br>agent = Agent(<br>&nbsp; &nbsp; role='User Creator',<br>&nbsp; &nbsp; goal='Create users',<br>&nbsp; &nbsp; backstory='I am skilled in creating user accounts',<br>&nbsp; &nbsp; tools=[tool1, tool2],<br>&nbsp; &nbsp; output_pydantic=User<br>)</span></em></code></p>
4. When executing the crew, the output of the task will be a User object:<br>
<div>&nbsp;</div>
<div><em>&nbsp;<code>from crewai import Crew</code></em><br><br><code><em># Create a crew with the agent and task</em></code><br><code><em>crew = Crew(agents=[agent], tasks=[task])</em></code><br><br><code><em># Kick off the crew</em></code><br><code><em>result = crew.kickoff()</em></code><br><br><code><em># The output of the task will be a User object</em></code><br><code><em>print(result.tasks[0].output)</em></code></div>
<p>&nbsp;</p>",FAQs,
How can I create custom tools for my CrewAI agents?,,https://help.crewai.com/how-can-i-create-custom-tools-for-my-crewai-agents,"<h4>You can create custom tools by subclassing the BaseTool class provided by CrewAI or by using the tool decorator. Subclassing involves defining a new class that inherits from BaseTool, specifying the name, description, and the _run method for operational logic. The tool decorator allows you to create a Tool object directly with the required attributes and a functional logic.</h4>
<p>Click <a href=""https://docs.crewai.com/how-to/Create-Custom-Tools/"" target=""_blank"" rel=""noopener"">here </a>for more details</p>",FAQs,
What question is your article answering?,,https://help.crewai.com/-temporary-slug-ed74f853-77b1-4feb-8967-3276197bdc3f,,,
How to kick-off your crew,,https://help.crewai.com/how-to-kick-off-your-crew,"<p>To run your crew, follow these steps:<br>Click on the project name: Navigate to your project in CrewAI.</p>
<p><img alt=""brave_zQqY8GQPUN"" height=""615"" style=""height: auto; max-width: 100%; width: 670px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/brave_zQqY8GQPUN.png"" width=""670"" loading=""lazy""></p>
<p>Click the kickoff link: This will initiate the crew setup process.</p>
<p><img alt=""brave_shVuoJFTlC"" height=""272"" style=""height: auto; max-width: 100%; width: 614px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/brave_shVuoJFTlC.png"" width=""614"" loading=""lazy""></p>
<p>Enter data for the crew: Provide the necessary input data for the crew to process.</p>
<p>Click the start kickoff button: This will run the crew with the provided data.</p>
<p><img alt=""brave_BGbMkvtpsu"" height=""417"" style=""height: auto; max-width: 100%; width: 670px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/brave_BGbMkvtpsu.png"" width=""670"" loading=""lazy""></p>
<p>Once the crew is running, copy the task ID for tracking purposes.</p>
<p><img alt=""brave_XxF4XvR5u5"" height=""369"" style=""height: auto; max-width: 100%; width: 642px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/brave_XxF4XvR5u5.png"" width=""642"" loading=""lazy""></p>
<p>Paste the task ID and click Get Status: Use the task ID to check the status of the crew.</p>
<p><img alt=""brave_R9zLBOkN3N"" height=""366"" style=""height: auto; max-width: 100%; width: 670px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/brave_R9zLBOkN3N.png"" width=""670"" loading=""lazy""></p>
<p>Review the status and final outcome: Monitor the crew's progress and review the final output.</p>
<p><img alt=""brave_UJsSH9ziHR"" height=""460"" style=""height: auto; max-width: 100%; width: 670px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/brave_UJsSH9ziHR.png"" width=""670"" loading=""lazy""></p>
<p>&nbsp;</p>",Getting started,
How to Kickoff a Crew from Slack,,https://help.crewai.com/how-to-kickoff-a-crewai-crew-from-slack,"<p>This guide explains how to start a crew directly from Slack using the CrewAI integration.</p>
<p>Prerequisites:</p>
<ul>
<li>CrewAI integration installed and connected to your Slack workspace</li>
<li>At least one crew configured in CrewAI</li>
</ul>
<p>Steps:</p>
<ol>
<li>Ensure the CrewAI Slack integration is set up:
<ul>
<li>In the CrewAI dashboard, navigate to the ""Integrations"" section (Image 1).</li>
</ul>
<br>&nbsp;<img alt=""brave_yRv6tG9wBE"" height=""201"" style=""height: auto; max-width: 100%; width: 670px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/brave_yRv6tG9wBE.png"" width=""670"" loading=""lazy"">
<ul>
<li>Verify that Slack is listed and shows a ""Connected"" status.</li>
</ul>
</li>
<li>Open Slack and navigate to the channel where you want to kickoff the crew.</li>
<li>Type the slash command ""/kickoff"" to initiate the crew kickoff process.
<ul>
<li>You should see a&nbsp; ""Kickoff crew"" appear as you type (Image 2).</li>
<li><img alt=""slack_NZKMBihIYj"" height=""157"" style=""height: auto; max-width: 100%; width: 601px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/slack_NZKMBihIYj.png"" width=""601"" loading=""lazy""></li>
</ul>
</li>
<li>Press Enter or select the ""Kickoff crew"" option. A dialog box titled ""Kickoff an AI Crew"" will appear</li>
<li>In the dropdown menu labeled ""Select of the crews online:"", choose the crew you want to start.
<ul>
<li>In the example (Image 3), ""prep-for-meet"" is selected.</li>
<li><img alt=""slack_EXxIWk74vJ"" height=""333"" style=""height: auto; max-width: 100%; width: 631px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/slack_EXxIWk74vJ.png"" width=""631"" loading=""lazy""></li>
</ul>
</li>
<li>If your crew requires any inputs, click the ""Add Inputs"" button to provide them.
<ul>
<li>Note: The ""Add Inputs"" button is shown in Image 3 but is not yet clicked.</li>
</ul>
</li>
<li>Once you've selected the crew and added any necessary inputs, click ""Add Inputs"" to start the crew.<br><br><img height=""771"" style=""height: auto; width: 628px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/image-png.png"" width=""628"" loading=""lazy""></li>
<li>Click Kickoff and wait for the crew to complete<br><img height=""678"" style=""height: auto; width: 653px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/image-png-1.png"" width=""653"" loading=""lazy""></li>
</ol>
<p>Tips:</p>
<ul>
<li>Make sure you have the necessary permissions to use the /kickoff command in your Slack workspace.</li>
<li>If you don't see your desired crew in the dropdown, ensure it's properly configured and online in CrewAI.<br><br></li>
</ul>",FAQs,slack
How to export and use a React Component,,https://help.crewai.com/how-to-export-and-use-a-react-component,"<p>Click on the ellipsis and select the export option and save the file locally. We will be using CrewLead.jsx for our example.</p>
<p><img height=""359"" style=""height: auto; width: 493px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/image-png-2.png"" width=""493"" loading=""lazy""></p>
<p>To run this React component locally, you'll need to set up a React development environment and integrate this component into a React project. Here's a step-by-step guide to get you started:</p>
<ol>
<li>Install Node.js:
<ul>
<li>Download and install Node.js from the official website: <a href=""https://nodejs.org/"">https://nodejs.org/</a></li>
<li>Choose the LTS (Long Term Support) version for stability.</li>
</ul>
</li>
<li>Create a new React project:
<ul>
<li>Open Command Prompt or PowerShell</li>
<li>Navigate to the directory where you want to create your project</li>
<li>Run the following command to create a new React project:
<div>
<div>&nbsp;</div>
<div>
<div><code>npx create-react-app my-crew-app</code></div>
</div>
</div>
</li>
<li>Change into the project directory:
<div>
<div>&nbsp;</div>
<div>
<div><code>cd my-crew-app</code></div>
</div>
</div>
</li>
</ul>
</li>
<li>Install necessary dependencies:
<ul>
<li>In your project directory, run:
<div>
<div>&nbsp;</div>
<div>
<div><code>npm install react-dom</code></div>
</div>
</div>
</li>
</ul>
</li>
<li>Create the CrewLead component:
<ul>
<li>&nbsp;move the downloaded file <code>CrewLead.jsx</code>&nbsp; into the <code>src</code> folder of your project,<br><br></li>
</ul>
</li>
<li>Modify your <code>App.js</code> to use the CrewLead component:
<ul>
<li>Open <code>src/App.js</code></li>
<li>Replace its contents with something like this:
<div>
<div>jsx</div>
<div>
<div>Copy</div>
</div>
<div>
<div><code>import React from 'react';<br>import CrewLead from './CrewLead';<br><br>function App() {<br>  return (<br>    &lt;div className=""App""&gt;<br>      &lt;CrewLead <br>        baseUrl=""YOUR_API_BASE_URL"" <br>        bearerToken=""YOUR_BEARER_TOKEN""<br>      /&gt;<br>    &lt;/div&gt;<br>  );<br>}<br><br>export default App;</code></div>
</div>
</div>
</li>
<li>Replace <code>YOUR_API_BASE_URL</code> and <code>YOUR_BEARER_TOKEN</code> with the actual values for your API.</li>
</ul>
</li>
<li>Start the development server:
<ul>
<li>In your project directory, run:
<div>
<div>&nbsp;</div>
<div>
<div><code>npm start</code></div>
</div>
</div>
</li>
</ul>
</li>
</ol>
<p>This will start the development server, and your default web browser should open automatically to <code>http://localhost:3000</code>, where you'll see your React app running.</p>
<p>You can then customise the CrewLead.jsx to add color, title etc</p>
<p><img height=""939"" style=""height: auto;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/image-png-3.png"" width=""1119"" loading=""lazy""></p>
<p><img height=""427"" style=""height: auto;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/image-png-4.png"" width=""1058"" loading=""lazy""></p>
<p>&nbsp;</p>",FAQs,
How to Invite Team Members to Your CrewAI+ Enterprise Organization,,https://help.crewai.com/how-to-invite-team-members-to-your-crewai-enterprise-organization,"<p>As an administrator of a CrewAI+ Enterprise account, you can easily invite new team members to join your organization. This article will guide you through the process step-by-step.</p>
<ol>
<li>Access the Settings Page
<ul>
<li>Log in to your CrewAI+ Enterprise account</li>
<li>Look for the gear icon (⚙️) in the top right corner of the dashboard</li>
<li>Click on the gear icon to access the Settings page<br><img height=""272"" style=""height: auto;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/image-png-Aug-08-2024-03-47-17-3426-PM.png"" width=""367"" loading=""lazy""></li>
</ul>
</li>
<li>Navigate to the Members Section
<ul>
<li>On the Settings page, you'll see a ""General configuration"" header</li>
<li>Below this, find and click on the ""Members"" tab</li>
</ul>
</li>
<li>Invite New Members
<ul>
<li>In the Members section, you'll see a list of current members (including yourself)</li>
<li>At the bottom of the list, locate the ""Email"" input field</li>
<li>Enter the email address of the person you want to invite</li>
<li>Click the ""Invite"" button next to the email field</li>
</ul>
</li>
<li>Repeat as Needed
<ul>
<li>You can repeat this process to invite multiple team members</li>
<li>Each invited member will receive an email invitation to join your organization</li>
</ul>
</li>
</ol>
<p>Important Notes:</p>
<ul>
<li>Only users with administrative privileges can invite new members</li>
<li>Ensure you have the correct email addresses for your team members</li>
<li>Invited members will need to accept the invitation to join your organization</li>
<li>You may want to inform your team members to check their email (including spam folders) for the invitation</li>
</ul>
<p>By following these steps, you can easily expand your team and collaborate more effectively within your CrewAI+ Enterprise organization.</p>",FAQs,
Using Webhooks in CrewAI+ Enterprise,,https://help.crewai.com/using-webhooks-in-crewai-enterprise,"<p>CrewAI+ Enterprise allows you to automate your workflow using webhooks. This article will guide you through the process of setting up and using webhooks to kickoff your crew execution, with a focus on integration with ActivePieces, a workflow automation platform similar to Zapier and Make.com.</p>
<h3 style=""text-align: center;""><span style=""text-decoration: underline;"">Setting Up Webhooks in the UI</span></h3>
<h3>1. Accessing the Kickoff Interface</h3>
<ul>
<li>Navigate to the CrewAI+ Enterprise dashboard</li>
<li>Look for the ""/kickoff"" section, which is used to start the crew execution<br><img height=""358"" style=""height: auto; width: 670px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/image-png-Aug-08-2024-06-13-50-2807-PM.png"" width=""670"" loading=""lazy""></li>
</ul>
<h3>2. Configuring the JSON Content</h3>
<p>In the JSON Content section, you'll need to provide the following information:</p>
<ul>
<li><code>inputs</code>: A JSON object containing:
<ul>
<li><code>company</code>: The name of the company (e.g., ""tesla"")</li>
<li><code>product_name</code>: The name of the product (e.g., ""crewai"")</li>
<li><code>form_response</code>: The type of response (e.g., ""financial"")</li>
<li><code>icp_description</code>: A brief description of the Ideal Customer Profile</li>
<li><code>product_description</code>: A short description of the product</li>
</ul>
</li>
<li><code>taskWebhookUrl</code>, <code>stepWebhookUrl</code>, <code>crewWebhookUrl</code>: URLs for various webhook endpoints (ActivePieces, Zapier, Make.com or another compatible platform)</li>
<li>Then click the Start Kickoff</li>
</ul>
<h3 style=""text-align: center;""><span style=""text-decoration: underline;"">ActivePieces Example</span></h3>
<p>In this example we will be using ActivePieces. You can use other platforms such as Zapier and Make.com</p>
<h3>3. Integrating with ActivePieces</h3>
<p>To integrate with ActivePieces:</p>
<ol>
<li>Set up a new flow in ActivePieces</li>
<li>Add a trigger (e.g., ""Every Day"" schedule)<br><img height=""773"" style=""height: auto; width: 595px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/image-png-Aug-08-2024-06-17-32-7382-PM.png"" width=""595"" loading=""lazy""></li>
<li>Add an HTTP action step
<ul>
<li>Set the action to ""Send HTTP request""</li>
<li>Use POST as the method</li>
<li>Set the URL to your CrewAI+ kickoff endpoint</li>
<li>Add necessary headers (e.g., Bearer Token)<br><img height=""572"" style=""height: auto;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/image-png-Aug-08-2024-06-54-37-2665-PM.png"" width=""449"" loading=""lazy""></li>
<li>In the body, include the JSON content as configured in step 2<br><img height=""401"" style=""height: auto; width: 670px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/image-png-Aug-08-2024-06-17-54-3962-PM.png"" width=""670"" loading=""lazy""></li>
</ul>
</li>
</ol>
<h4>The crew will then kickoff at the pre-defined time.</h4>
<h3>4. Setting Up the Webhook</h3>
<ol>
<li>Create a new flow in ActivePieces and name it&nbsp;<br><br><br><img height=""683"" style=""height: auto; width: 544px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/image-png-Aug-08-2024-06-26-51-9425-PM.png"" width=""544"" loading=""lazy""></li>
<li>Add a webhook step as the trigger:
<ul>
<li>Select ""Catch Webhook"" as the trigger type</li>
<li>This will generate a unique URL that will receive HTTP requests and trigger your flow<br><img height=""488"" style=""height: auto; width: 451px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/image-png-Aug-08-2024-06-29-34-0899-PM.png"" width=""451"" loading=""lazy""></li>
</ul>
</li>
<li>Configure the email to use crew webhook body text<br><img height=""518"" style=""height: auto; width: 461px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/image-png-Aug-08-2024-06-27-03-0131-PM.png"" width=""461"" loading=""lazy""></li>
</ol>
<h3>5. Generated output</h3>
<p>1. <span style=""background-color: transparent; color: var(--primary-body-font-color); font-family: var(--primary-body-font-family); font-size: var(--primary-body-font-size); font-style: var(--primary-body-font-style); font-weight: var(--primary-body-font-weight);""></span><code>stepWebhookUrl</code><span style=""background-color: transparent; color: var(--primary-body-font-color); font-family: var(--primary-body-font-family); font-size: var(--primary-body-font-size); font-style: var(--primary-body-font-style); font-weight: var(--primary-body-font-weight);"">&nbsp;- Callback that will be executed upon each agent inner thought</span></p>
<p>{""action"":""**Preliminary Research Report on the Financial Industry for crewai Enterprise Solution**\n\n**1. Industry Overview and Trends**\nThe financial industry in ....**Conclusion:**\nThe financial industry presents a fertile ground for implementing AI solutions like crewai, particularly in areas such as digital customer engagement, risk management, and regulatory compliance. Further engagement with the lead is recommended to better tailor the crewai solution to their specific needs and scale."",""task_id"":""97eba64f-958c-40a0-b61c-625fe635a3c0""}</p>
<p>2. <span style=""background-color: transparent; color: var(--primary-body-font-color); font-family: var(--primary-body-font-family); font-size: var(--primary-body-font-size); font-style: var(--primary-body-font-style); font-weight: var(--primary-body-font-weight);""></span><code>taskWebhookUrl</code><span style=""background-color: transparent; color: var(--primary-body-font-color); font-family: var(--primary-body-font-family); font-size: var(--primary-body-font-size); font-style: var(--primary-body-font-style); font-weight: var(--primary-body-font-weight);"">&nbsp;- Callback that will be executed upon the end of each task</span></p>
<p>{""description"":""Using the information gathered from the lead's data, conduct preliminary research on the lead's industry, company background, and potential use cases for crewai. Focus on finding relevant data that can aid in scoring the lead and planning a strategy to pitch them crewai.The financial industry presents a fertile ground for implementing AI solutions like crewai, particularly in areas such as digital customer engagement, risk management, and regulatory compliance. Further engagement with the lead is recommended to better tailor the crewai solution to their specific needs and scale."",""task_id"":""97eba64f-958c-40a0-b61c-625fe635a3c0""}</p>
<p>3. <span style=""background-color: transparent; color: var(--primary-body-font-color); font-family: var(--primary-body-font-family); font-size: var(--primary-body-font-size); font-style: var(--primary-body-font-style); font-weight: var(--primary-body-font-weight);""></span><code>crewWebhookUrl</code><span style=""background-color: transparent; color: var(--primary-body-font-color); font-family: var(--primary-body-font-family); font-size: var(--primary-body-font-size); font-style: var(--primary-body-font-style); font-weight: var(--primary-body-font-weight);"">&nbsp;- Callback that will be executed upon the end of the crew execution</span></p>
<p><span style=""background-color: transparent; color: var(--primary-body-font-color); font-family: var(--primary-body-font-family); font-size: var(--primary-body-font-size); font-style: var(--primary-body-font-style); font-weight: var(--primary-body-font-weight);"">{""task_id"":""97eba64f-958c-40a0-b61c-625fe635a3c0"",""result"":""{\n \""lead_score\"": Customer service enhancement, and compliance are particularly relevant.\"",\n \""talking_points\"": [\n \""Highlight how crewai's AI solutions can transform customer service with automated, personalized experiences and 24/7 support, improving both customer satisfaction and operational efficiency.\"",\n \""Discuss crewai's potential to help the institution achieve its sustainability goals through better data analysis and decision-making, contributing to responsible investing and green initiatives.\"",\n \""Emphasize crewai’s ability to enhance compliance with evolving regulations through efficient data processing and reporting, reducing the risk of non-compliance penalties.\"",\n \""Stress the adaptability of crewai to support both extensive multinational operations and smaller, targeted projects, ensuring the solution grows with the institution’s needs.\""\n ]\n}""}</span></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<br>
<p>&nbsp;</p>
<p>&nbsp;</p>",FAQs,
How to use the crewai custom GPT to create a crew,,https://help.crewai.com/how-to-use-the-crewai-custom-gpt-to-create-a-crew,"<ol>
<li>Navigate to the CrewAI custom GPT at <a href=""https://chatgpt.com/g/g-qqTuUWsBY-crewai-assistant"">https://chatgpt.com/g/g-qqTuUWsBY-crewai-assistant</a></li>
<li>Describe your project idea. For example: ""suggest me some agents and tasks to retrieve LinkedIn profile details for a given person and a domain.""&nbsp;&nbsp;</li>
<li>The GPT will provide you with a list of suggested agents and tasks. Here's an example<br><img alt=""brave_TDBJdoZ4QW"" height=""464"" style=""height: auto; max-width: 100%; width: 670px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/brave_TDBJdoZ4QW.png"" width=""670"" loading=""lazy""></li>
<li>Create the project structure in your terminal by entering:&nbsp;<br><code>crewai create linkedin-profile</code></li>
<li><img alt=""Code_QJtysqixut"" height=""369"" style=""height: auto; max-width: 100%; width: 659px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/Code_QJtysqixut.png"" width=""659"" loading=""lazy""></li>
<li>&nbsp;Ask the GPT to convert the agents and tasks to YAML format.</li>
<li><img alt=""brave_ykYFi5Hw9j"" height=""606"" style=""height: auto; max-width: 100%; width: 670px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/brave_ykYFi5Hw9j.png"" width=""670"" loading=""lazy""></li>
<li>Now replace the agents.yaml and tasks.yaml with the above code</li>
<li>Ask GPT to create the custom LinkedIn Tool</li>
<li>Ask the GPT to put everything together into the crew,py</li>
<li>You will now have a fully working crew.
<div>
<div>
<div>&nbsp;</div>
<div>&nbsp;</div>
<div>&nbsp;</div>
<div>&nbsp;</div>
<div>&nbsp;</div>
<div>&nbsp;</div>
<div>&nbsp;</div>
<div>&nbsp;</div>
<div>&nbsp;</div>
<div>&nbsp;</div>
<div>&nbsp;</div>
<div>&nbsp;</div>
<div>&nbsp;</div>
</div>
</div>
</li>
</ol>",FAQs,
How to generate images using Dall-E,,https://help.crewai.com/how-to-generate-images-using-dall-e,"<h3 style=""text-align: center;"">Using the DALL-E Tool in crewAI</h3>
<p style=""text-align: left;"">crewAI now supports integration with OpenAI's DALL-E, allowing your AI agents to generate images as part of their tasks. This guide will walk you through how to set up and use the DALL-E tool in your crewAI projects.<br><br><strong>Prerequisites</strong><br><br>- crewAI installed (latest version)<br>- OpenAI API key with access to DALL-E<br><br><strong>Setting Up the DALL-E Tool</strong><br><br>To use the DALL-E tool in your CrewAI project, follow these steps:<br><br>1. Import the DALL-E tool:<br><br>```python<br>from crewai_tools import DallETool<br>```<br><br>2. Add the DALL-E tool to your agent configuration:<br><br>```python<br>@agent<br>def researcher(self) -&gt; Agent:<br>&nbsp; &nbsp; return Agent(<br>&nbsp; &nbsp; &nbsp; &nbsp; config=self.agents_config['researcher'],<br>&nbsp; &nbsp; &nbsp; &nbsp; tools=[SerperDevTool(), <strong>DallETool()</strong>], &nbsp;# Add DallETool to the list of tools<br>&nbsp; &nbsp; &nbsp; &nbsp; allow_delegation=False,<br>&nbsp; &nbsp; &nbsp; &nbsp; verbose=True<br>&nbsp; &nbsp; )<br>```<br><br><strong>Using the DALL-E Tool</strong><br><br>Once you've added the DALL-E tool to your agent, it can generate images based on text prompts. The tool will return a URL to the generated image, which can be used in the agent's output or passed to other agents for further processing.<br><br>Example usage within a task:<br><br><strong>researcher</strong>:<br>&nbsp; <strong>role</strong>: &gt;<br>&nbsp; &nbsp; LinkedIn Profile Senior Data Researcher<br>&nbsp; <strong>goal</strong>: &gt;<br>&nbsp; &nbsp; Uncover detailed LinkedIn profiles based on provided name {name} and domain {domain}<br>&nbsp; &nbsp; Generate a Dall-e image based on domain {domain}<br>&nbsp; <strong>backstory</strong>: &gt;<br>&nbsp; &nbsp; You're a seasoned researcher with a knack for uncovering the most relevant LinkedIn profiles.<br>&nbsp; &nbsp; Known for your ability to navigate LinkedIn efficiently, you excel at gathering and presenting<br>&nbsp; &nbsp; professional information clearly and concisely.</p>
<p style=""text-align: left;""><br><br>The agent with the DALL-E tool will be able to generate the image and provide a URL in its response. You can then download the image.</p>
<p style=""text-align: left;""><img alt=""dalle"" height=""670"" style=""height: auto; max-width: 100%; width: 670px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/dalle.png"" width=""670"" loading=""lazy""><br><br><strong>Best Practices</strong><br><br>1. Be specific in your image generation prompts to get the best results.<br>2. Remember that image generation can take some time, so factor this into your task planning.<br>3. Always comply with OpenAI's usage policies when generating images.<br><br><strong>Troubleshooting</strong><br><br>If you encounter issues:<br><br>1. Ensure your OpenAI API key has access to DALL-E.<br>2. Check that you're using the latest version of crewAI and crewai-tools.<br>3. Verify that the DALL-E tool is correctly added to the agent's tool list.<br><br><br></p>",FAQs,
